========================================================================================================
w 的变量依赖性分析 (核岭回归 LOO_R2; 越接近 1 说明该特征集足以重建 w)
========================================================================================================

########## points.json  n=200 rp=0.9647 ##########

--- d2=15.0°  (w: 均值 0.8117 std 0.0435) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1    0.0166
       ρ (=|uv|)    1    0.7631
        r (=|P|)    1    0.7891
             θ,ρ    2    0.6996
           θ,ρ,r    3    0.7168
      (x,y,z) 位置    3    0.9905
       (x,y,z)+θ    4    0.9766
           uv 实虚    2    0.4867
        θ,ρ,uv实虚    4    0.4862

--- d2=45.0°  (w: 均值 0.9594 std 0.0429) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1   -0.0073
       ρ (=|uv|)    1    0.9985
        r (=|P|)    1    0.9986
             θ,ρ    2    0.9981
           θ,ρ,r    3    0.9984
      (x,y,z) 位置    3    0.9789
       (x,y,z)+θ    4    0.9776
           uv 实虚    2    0.9957
        θ,ρ,uv实虚    4    0.9955

--- d2=75.0°  (w: 均值 0.9667 std 0.0437) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1   -0.0427
       ρ (=|uv|)    1    0.9459
        r (=|P|)    1    0.9366
             θ,ρ    2    0.9771
           θ,ρ,r    3    0.9656
      (x,y,z) 位置    3    0.9230
       (x,y,z)+θ    4    0.9521
           uv 实虚    2    0.9768
        θ,ρ,uv实虚    4    0.9920

########## points1.json  n=200 rp=0.9389 ##########

--- d2=15.0°  (w: 均值 0.8290 std 0.0403) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1   -0.0674
       ρ (=|uv|)    1    0.7996
        r (=|P|)    1    0.8620
             θ,ρ    2    0.7755
           θ,ρ,r    3    0.7959
      (x,y,z) 位置    3    0.9943
       (x,y,z)+θ    4    0.9850
           uv 实虚    2    0.5404
        θ,ρ,uv实虚    4    0.5693

--- d2=45.0°  (w: 均值 0.9626 std 0.0415) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1    0.0474
       ρ (=|uv|)    1    0.9920
        r (=|P|)    1    0.9956
             θ,ρ    2    0.9925
           θ,ρ,r    3    0.9934
      (x,y,z) 位置    3    0.9878
       (x,y,z)+θ    4    0.9886
           uv 实虚    2    0.9901
        θ,ρ,uv实虚    4    0.9875

--- d2=75.0°  (w: 均值 0.9687 std 0.0397) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1   -0.0605
       ρ (=|uv|)    1    0.9652
        r (=|P|)    1    0.9602
             θ,ρ    2    0.9864
           θ,ρ,r    3    0.9798
      (x,y,z) 位置    3    0.9595
       (x,y,z)+θ    4    0.9621
           uv 实虚    2    0.9794
        θ,ρ,uv实虚    4    0.9933

########## pyjson.json  n=200 rp=1.2000 ##########

--- d2=15.0°  (w: 均值 0.6174 std 0.0364) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1    0.0046
       ρ (=|uv|)    1   -0.0967
        r (=|P|)    1   -0.0208
             θ,ρ    2    0.0039
           θ,ρ,r    3    0.0038
      (x,y,z) 位置    3    1.0000
       (x,y,z)+θ    4    0.9999
           uv 实虚    2   -0.0383
        θ,ρ,uv实虚    4   -0.0307

--- d2=45.0°  (w: 均值 0.9484 std 0.0035) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1    0.0821
       ρ (=|uv|)    1   -0.0295
        r (=|P|)    1   -0.0239
             θ,ρ    2    0.0819
           θ,ρ,r    3    0.0818
      (x,y,z) 位置    3    1.0000
       (x,y,z)+θ    4    0.9999
           uv 实虚    2    0.0687
        θ,ρ,uv实虚    4    0.0731

--- d2=75.0°  (w: 均值 0.9997 std 0.0000) ---
             特征集   维度    LOO_R2
         θ (环坐标)    1    0.3958
       ρ (=|uv|)    1   -0.0158
        r (=|P|)    1   -0.0230
             θ,ρ    2    0.3957
           θ,ρ,r    3    0.3957
      (x,y,z) 位置    3    1.0000
       (x,y,z)+θ    4    1.0000
           uv 实虚    2    0.5141
        θ,ρ,uv实虚    4    0.4848

